"","target_id","ext_gene","2dpi-0dpi","4dpi-0dpi","7dpi-0dpi","12dpi-0dpi"
"446","ENSDART00000146744","nfkbiab",1,1,1,1
"447","ENSDART00000017774","cacng5a",-1,-1,0,0
"448","ENSDART00000135888","rrp9",1,1,1,0
"449","ENSDART00000157129","slc12a5a",-1,-1,-1,0
"450","ENSDART00000034829","rrp12",1,1,1,0
"451","ENSDART00000147464","ryr3",-1,-1,0,1
"452","ENSDART00000138350","rps12",1,1,1,0
"453","ENSDART00000088833","si:ch73-233f7.1",-1,0,0,0
"454","ENSDART00000164210","SI",1,1,1,0
"455","ENSDART00000122953","gnl3",1,0,0,0
"456","ENSDART00000134431","pcbp3",-1,-1,-1,0
"457","ENSDART00000005842","fgf1a",-1,-1,-1,0
"458","ENSDART00000133092","st6galnac5a",-1,0,0,0
"459","ENSDART00000046530","rab42a",-1,-1,0,0
"460","ENSDART00000163380","si:dkey-22o22.2",-1,-1,-1,0
"461","ENSDART00000103750","fam131bb",-1,-1,0,0
"462","ENSDART00000166992","rab6a",1,1,1,1
"463","ENSDART00000142122","cplx2l",-1,-1,0,0
"464","ENSDART00000110751","tiam1a",-1,-1,0,0
"465","ENSDART00000130626","rars",1,1,1,0
"466","ENSDART00000042972","srpk1b",-1,-1,0,0
"467","ENSDART00000084069","iqgap2",1,0,0,0
"468","ENSDART00000153654","piezo2a.2",1,1,1,0
"469","ENSDART00000170932","rims2a",-1,-1,-1,0
"470","ENSDART00000033248","fam107b",-1,-1,-1,0
"471","ENSDART00000114282","rpsa",1,1,0,0
"472","ENSDART00000099049",NA,-1,-1,0,0
"473","ENSDART00000086905","nrn1lb",-1,-1,-1,-1
"474","ENSDART00000171696","sergef",-1,-1,-1,0
"475","ENSDART00000133325","nell2b",-1,-1,-1,0
"476","ENSDART00000004065","zgc:91909",1,1,1,0
"477","ENSDART00000145489","ano11",-1,-1,0,0
